epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,252.384,1.108,0.69275,0.91126,0.74879,0.68019,0.72891,0.45404,1.3484,0.88406,1.01695,0.0002378,0.0002378,0.0002378
91,264.036,1.10272,0.74302,0.91448,0.75214,0.67717,0.72601,0.45283,1.37058,0.88666,1.02451,0.000218,0.000218,0.000218
92,267.262,1.07786,0.69063,0.89306,0.78888,0.63951,0.71346,0.44176,1.38952,0.89758,1.03824,0.0001982,0.0001982,0.0001982
93,270.357,1.04369,0.67008,0.88137,0.8308,0.63437,0.72025,0.44934,1.37733,0.87359,1.04313,0.0001784,0.0001784,0.0001784
94,272.714,1.0397,0.67343,0.89821,0.79648,0.65101,0.72746,0.45272,1.37316,0.86375,1.03915,0.0001586,0.0001586,0.0001586
95,275.004,1.0078,0.62689,0.88359,0.79986,0.6443,0.72738,0.45325,1.37174,0.8609,1.03395,0.0001388,0.0001388,0.0001388
96,277.379,1.00145,0.63746,0.87391,0.81183,0.64094,0.72937,0.45763,1.35416,0.86193,1.02462,0.000119,0.000119,0.000119
97,280.441,1.0016,0.62856,0.87916,0.78804,0.65268,0.73415,0.45929,1.35075,0.86213,1.02228,9.92e-05,9.92e-05,9.92e-05
98,283.3,1.01473,0.63995,0.87782,0.77133,0.66779,0.73717,0.45802,1.35758,0.86514,1.02383,7.94e-05,7.94e-05,7.94e-05
99,286.153,1.00696,0.62409,0.88318,0.81999,0.63758,0.73719,0.45758,1.35471,0.86571,1.02171,5.96e-05,5.96e-05,5.96e-05
100,289.095,1.03538,0.64546,0.88453,0.78554,0.66275,0.74018,0.45845,1.35132,0.8632,1.02084,3.98e-05,3.98e-05,3.98e-05
